2026-04-28T11:48:36.520Z | INFO | Starting SLA audit | {"organizationId":"921f56a8-b2fe-4f24-bae9-fdf4863d4240","organizationLabel":"vidal-real-estate","riskWindowHours":4,"overdueThresholdHours":24,"escalationThresholdHours":48,"dryRun":false}
2026-04-28T11:50:25.536Z | INFO | Starting SLA audit | {"organizationId":"921f56a8-b2fe-4f24-bae9-fdf4863d4240","organizationLabel":"vidal-real-estate","riskWindowHours":4,"overdueThresholdHours":24,"escalationThresholdHours":48,"dryRun":false}
2026-04-28T11:50:27.307Z | WARN | Composio tool execution failed | {"toolSlug":"SUPABASE_BETA_RUN_SQL_QUERY","attempt":1,"retries":3,"error":"Composio tool SUPABASE_BETA_RUN_SQL_QUERY failed: SQL query failed with status 500: Request failed with status code 502"}
2026-04-28T11:50:28.683Z | WARN | Composio tool execution failed | {"toolSlug":"SUPABASE_BETA_RUN_SQL_QUERY","attempt":2,"retries":3,"error":"Composio tool SUPABASE_BETA_RUN_SQL_QUERY failed: SQL query failed with status 500: Request failed with status code 502"}
2026-04-28T11:50:31.252Z | INFO | Composio tool recovered after retry | {"toolSlug":"SUPABASE_BETA_RUN_SQL_QUERY","attempt":3}
2026-04-28T11:50:32.265Z | WARN | Composio tool execution failed | {"toolSlug":"GITHUB_SEARCH_ISSUES_AND_PULL_REQUESTS","attempt":1,"retries":2,"error":"Composio tool GITHUB_SEARCH_ISSUES_AND_PULL_REQUESTS failed: Invalid request data provided\n- Following fields are missing: {'q'}"}
2026-04-28T11:50:32.336Z | WARN | Composio tool execution failed | {"toolSlug":"GITHUB_SEARCH_ISSUES_AND_PULL_REQUESTS","attempt":1,"retries":2,"error":"Composio tool GITHUB_SEARCH_ISSUES_AND_PULL_REQUESTS failed: Invalid request data provided\n- Following fields are missing: {'q'}"}
2026-04-28T11:50:33.494Z | ERROR | Composio tool execution failed | {"toolSlug":"GITHUB_SEARCH_ISSUES_AND_PULL_REQUESTS","attempt":2,"retries":2,"error":"Composio tool GITHUB_SEARCH_ISSUES_AND_PULL_REQUESTS failed: Invalid request data provided\n- Following fields are missing: {'q'}"}
2026-04-28T11:50:33.494Z | WARN | GitHub RCA lookup failed | {"ticketId":"15730fa2-3415-44dd-af14-e6415a6c2818","query":"NO puedo instalar una aplicacion de contabilidad","error":"Error: Composio tool GITHUB_SEARCH_ISSUES_AND_PULL_REQUESTS failed: Invalid request data provided\n- Following fields are missing: {'q'}"}
2026-04-28T11:50:33.625Z | ERROR | Composio tool execution failed | {"toolSlug":"GITHUB_SEARCH_ISSUES_AND_PULL_REQUESTS","attempt":2,"retries":2,"error":"Composio tool GITHUB_SEARCH_ISSUES_AND_PULL_REQUESTS failed: Invalid request data provided\n- Following fields are missing: {'q'}"}
2026-04-28T11:50:33.625Z | WARN | GitHub RCA lookup failed | {"ticketId":"db9b907c-cae6-4a4b-a92e-1fcd87288be5","query":"El ordenador no enciende desde esta mañana","error":"Error: Composio tool GITHUB_SEARCH_ISSUES_AND_PULL_REQUESTS failed: Invalid request data provided\n- Following fields are missing: {'q'}"}
2026-04-28T11:50:34.196Z | WARN | Composio tool execution failed | {"toolSlug":"GITHUB_SEARCH_ISSUES_AND_PULL_REQUESTS","attempt":1,"retries":2,"error":"Composio tool GITHUB_SEARCH_ISSUES_AND_PULL_REQUESTS failed: Invalid request data provided\n- Following fields are missing: {'q'}"}
